"","Name","Year","Rank"
"1000","Graham","1934",50
"1001","Gregory","1934",NA
"1002","Guy","1934",NA
"1003","Harley","1934",NA
"1004","Harold","1934",48
"1005","Harrison","1934",NA
"1006","Harry","1934",51
"1007","Harvey","1934",NA
"1008","Hector","1934",NA
"1009","Henry","1934",45
"1010","Herbert","1934",73
"1011","Horace","1934",NA
"1012","Howard","1934",NA
"1013","Hubert","1934",NA
"1014","Hugh","1934",81
"1015","Hugo","1934",NA
"1016","Iain","1934",NA
"1017","Ian","1934",55
"1018","Ibrahim","1934",NA
"1019","Isaac","1934",NA
"1020","Ivan","1934",91
"1021","Ivor","1934",87
"1022","Jack","1934",52
"1023","Jackson","1934",NA
"1024","Jacob","1934",NA
"1025","Jake","1934",NA
"1026","James","1934",6
"1027","Jamie","1934",NA
"1028","Jason","1934",NA
"1029","Jasper","1934",NA
"1030","Jaxon","1934",NA
"1031","Jay","1934",NA
"1032","Jayden","1934",NA
"1033","Jeffrey","1934",86
"1034","Jenson","1934",NA
"1035","Jeremy","1934",NA
"1036","Jesse","1934",NA
"1037","Joe","1934",NA
"1038","Joel","1934",NA
"1039","John","1934",1
"1040","Jonathan","1934",NA
"1041","Jordan","1934",NA
"1042","Joseph","1934",23
"1043","Josh","1934",NA
"1044","Joshua","1934",NA
"1045","Jude","1934",NA
"1046","Julian","1934",NA
"1047","Justin","1934",NA
"1048","Kai","1934",NA
