"","Name","Year","Rank"
"563","Kimberley","1914",NA
"564","Kirsty","1914",NA
"565","Laura","1914",87
"566","Lauren","1914",NA
"567","Layla","1914",NA
"568","Leah","1914",NA
"569","Leanne","1914",NA
"570","Lesley","1914",NA
"571","Lexi","1914",NA
"572","Libby","1914",NA
"573","Lilian","1914",16
"574","Lillian","1914",71
"575","Lilly","1914",NA
"576","Lily","1914",25
"577","Linda","1914",NA
"578","Lindsay","1914",NA
"579","Lindsey","1914",NA
"580","Lisa","1914",NA
"581","Lola","1914",NA
"582","Lorraine","1914",NA
"583","Lottie","1914",NA
"584","Louisa","1914",73
"585","Louise","1914",NA
"586","Lucy","1914",61
"587","Luna","1914",NA
"588","Lydia","1914",NA
"589","Lynda","1914",NA
"590","Lyndsey","1914",NA
"591","Lynn","1914",NA
"592","Lynne","1914",NA
"593","Lynsey","1914",NA
"594","Mabel","1914",34
"595","Maddison","1914",NA
"596","Madeleine","1914",NA
"597","Madison","1914",NA
"598","Maisie","1914",NA
"599","Mandy","1914",NA
"600","Margaret","1914",2
"601","Margery","1914",88
"602","Maria","1914",90
"603","Marian","1914",NA
"604","Marie","1914",77
"605","Marilyn","1914",NA
"606","Marina","1914",NA
"607","Marion","1914",63
"608","Marjorie","1914",18
"609","Marlene","1914",NA
"610","Martha","1914",84
"611","Mary","1914",1
"612","Maryam","1914",NA
"613","Matilda","1914",NA
"614","Maud","1914",64
"615","Maureen","1914",NA
"616","Mavis","1914",NA
"617","Maxine","1914",NA
"618","May","1914",35
"619","Maya","1914",NA
"620","Megan","1914",NA
"621","Melanie","1914",NA
"622","Melissa","1914",NA
"623","Mia","1914",NA
"624","Michele","1914",NA
"625","Michelle","1914",NA
"626","Mila","1914",NA
"627","Mildred","1914",80
"628","Millicent","1914",100
"629","Millie","1914",NA
"630","Minnie","1914",66
"631","Miriam","1914",NA
"632","Mollie","1914",NA
"633","Molly","1914",NA
"634","Monica","1914",NA
"635","Morgan","1914",NA
"636","Muriel","1914",41
"637","Nancy","1914",50
"638","Naomi","1914",NA
"639","Natalie","1914",NA
"640","Natasha","1914",NA
"641","Nellie","1914",32
"642","Niamh","1914",NA
"643","Nichola","1914",NA
"644","Nicola","1914",NA
"645","Nicole","1914",NA
"646","Nora","1914",47
"647","Norah","1914",56
"648","Norma","1914",NA
"649","Olive","1914",26
"650","Olivia","1914",NA
"651","Paige","1914",NA
"652","Pamela","1914",NA
"653","Patricia","1914",99
"654","Paula","1914",NA
"655","Pauline","1914",NA
"656","Peggy","1914",NA
"657","Penelope","1914",NA
"658","Phoebe","1914",NA
"659","Phyllis","1914",14
"660","Poppy","1914",NA
"661","Rachael","1914",NA
"662","Rachel","1914",NA
"663","Rebecca","1914",NA
"664","Rebekah","1914",NA
"665","Rhiannon","1914",NA
"666","Rita","1914",NA
"667","Robyn","1914",NA
"668","Rose","1914",30
"669","Rosemary","1914",NA
"670","Rosie","1914",NA
"671","Rosina","1914",89
"672","Ruby","1914",68
"673","Ruth","1914",62
"674","Sally","1914",NA
"675","Samantha","1914",NA
"676","Sandra","1914",NA
"677","Sara","1914",NA
"678","Sarah","1914",31
"679","Scarlett","1914",NA
"680","Shannon","1914",NA
"681","Sharon","1914",NA
"682","Sheila","1914",NA
"683","Shirley","1914",NA
"684","Sian","1914",NA
"685","Sienna","1914",NA
"686","Skye","1914",NA
"687","Sofia","1914",NA
"688","Sonia","1914",NA
"689","Sophia","1914",NA
"690","Sophie","1914",NA
"691","Stacey","1914",NA
"692","Stella","1914",NA
"693","Stephanie","1914",NA
"694","Summer","1914",NA
"695","Susan","1914",NA
"696","Suzanne","1914",NA
"697","Sybil","1914",NA
"698","Sylvia","1914",82
"699","Tanya","1914",NA
"700","Tara","1914",NA
"701","Teresa","1914",NA
"702","Thea","1914",NA
"703","Thelma","1914",NA
"704","Theresa","1914",NA
"705","Tia","1914",NA
"706","Tilly","1914",NA
"707","Tina","1914",NA
"708","Toni","1914",NA
"709","Tracey","1914",NA
"710","Tracy","1914",NA
"711","Valerie","1914",NA
"712","Vanessa","1914",NA
"713","Vera","1914",23
"714","Veronica","1914",NA
"715","Victoria","1914",NA
"716","Violet","1914",20
"717","Vivienne","1914",NA
"718","Wendy","1914",NA
"719","Willow","1914",NA
"720","Winifred","1914",10
"721","Yasmin","1914",NA
"722","Yvonne","1914",NA
"723","Zara","1914",NA
"724","Zoe","1914",NA
"725","Abbie","1924",NA
"726","Abigail","1924",NA
"727","Ada","1924",74
"728","Agnes","1924",54
"729","Aimee","1924",NA
"730","Aisha","1924",NA
"731","Alexandra","1924",NA
"732","Alice","1924",30
"733","Alicia","1924",NA
"734","Alisha","1924",NA
"735","Alison","1924",NA
"736","Alma","1924",91
"737","Amanda","1924",NA
"738","Amber","1924",NA
"739","Amelia","1924",NA
"740","Amelie","1924",NA
"741","Amy","1924",100
"742","Andrea","1924",NA
"743","Angela","1924",NA
"744","Anita","1924",NA
"745","Ann","1924",76
"746","Anna","1924",NA
"747","Annabelle","1924",NA
"748","Anne","1924",61
"749","Annette","1924",NA
"750","Annie","1924",28
"751","Arabella","1924",NA
"752","Aria","1924",NA
"753","Ashleigh","1924",NA
"754","Audrey","1924",21
"755","Ava","1924",NA
"756","Barbara","1924",18
"757","Beatrice","1924",52
"758","Bella","1924",NA
"759","Bertha","1924",NA
"760","Beryl","1924",39
"761","Bessie","1924",NA
"762","Beth","1924",NA
"763","Bethan","1924",NA
"764","Bethany","1924",NA
"765","Betty","1924",11
"766","Beverley","1924",NA
"767","Blanche","1924",NA
"768","Brenda","1924",58
"769","Bridget","1924",86
"770","Brooke","1924",NA
"771","Caitlin","1924",NA
"772","Carla","1924",NA
"773","Carly","1924",NA
"774","Carol","1924",NA
"775","Carole","1924",NA
"776","Caroline","1924",NA
"777","Carolyn","1924",NA
"778","Catherine","1924",37
"779","Chantelle","1924",NA
"780","Charlene","1924",NA
"781","Charlotte","1924",NA
"782","Chelsea","1924",NA
"783","Cheryl","1924",NA
"784","Chloe","1924",NA
"785","Christina","1924",NA
"786","Christine","1924",94
"787","Clair","1924",NA
"788","Claire","1924",NA
"789","Clara","1924",NA
"790","Clare","1924",NA
"791","Constance","1924",45
"792","Courtney","1924",NA
"793","Cynthia","1924",NA
"794","Daisy","1924",88
"795","Danielle","1924",NA
"796","Daphne","1924",72
"797","Darcey","1924",NA
"798","Darcie","1924",NA
"799","Darcy","1924",NA
"800","Dawn","1924",NA
"801","Debbie","1924",NA
"802","Deborah","1924",NA
"803","Debra","1924",NA
"804","Demi","1924",NA
"805","Denise","1924",NA
"806","Diana","1924",NA
"807","Diane","1924",NA
"808","Donna","1924",NA
"809","Dora","1924",93
"810","Doreen","1924",15
"811","Doris","1924",7
"812","Dorothy","1924",5
"813","Edith","1924",22
"814","Edna","1924",20
"815","Eileen","1924",10
"816","Elaine","1924",NA
"817","Eleanor","1924",89
"818","Eliza","1924",NA
"819","Elizabeth","1924",9
"820","Ella","1924",NA
"821","Ellen","1924",41
"822","Ellie","1924",NA
"823","Eloise","1924",NA
"824","Elsie","1924",17
"825","Emilia","1924",NA
"826","Emily","1924",70
"827","Emma","1924",NA
"828","Enid","1924",77
"829","Erin","1924",NA
"830","Esme","1924",NA
"831","Esther","1924",NA
"832","Ethel","1924",38
"833","Eva","1924",65
"834","Eve","1924",NA
"835","Evelyn","1924",35
"836","Evie","1924",NA
"837","Faith","1924",NA
"838","Fanny","1924",NA
"839","Felicity","1924",NA
"840","Fiona","1924",NA
"841","Florence","1924",23
"842","Frances","1924",46
"843","Francesca","1924",NA
"844","Freda","1924",48
"845","Freya","1924",NA
"846","Gabrielle","1924",NA
"847","Gail","1924",NA
"848","Gemma","1924",NA
"849","Georgia","1924",NA
"850","Georgina","1924",NA
"851","Geraldine","1924",NA
"852","Gertrude","1924",78
"853","Gillian","1924",NA
"854","Gladys","1924",14
"855","Glenys","1924",NA
"856","Gloria","1924",NA
"857","Glynis","1924",NA
"858","Grace","1924",51
"859","Gracie","1924",NA
"860","Gwendoline","1924",40
"861","Hannah","1924",98
"862","Harper","1924",NA
"863","Harriet","1924",NA
"864","Hayley","1924",NA
"865","Hazel","1924",69
"866","Heather","1924",NA
"867","Heidi","1924",NA
"868","Helen","1924",62
"869","Hilary","1924",NA
"870","Hilda","1924",26
"871","Hollie","1924",NA
"872","Holly","1924",NA
"873","Ida","1924",NA
"874","Imogen","1924",NA
"875","Irene","1924",8
"876","Iris","1924",34
"877","Isabel","1924",NA
"878","Isabella","1924",NA
"879","Isabelle","1924",NA
"880","Isla","1924",NA
"881","Isobel","1924",NA
"882","Ivy","1924",32
"883","Jacqueline","1924",NA
"884","Jade","1924",NA
"885","Jane","1924",73
"886","Janet","1924",96
"887","Janice","1924",NA
"888","Jasmine","1924",NA
"889","Jayne","1924",NA
"890","Jean","1924",12
"891","Jeanette","1924",NA
"892","Jemma","1924",NA
"893","Jenna","1924",NA
"894","Jennifer","1924",NA
